City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,kakata,6.53,-10.3517,25.08,96,88,0.61,LR,1715295975
341,nova vicosa,-17.8919,-39.3719,25.84,83,10,3.55,BR,1715295704
342,ulsteinvik,62.3432,5.8487,4.95,84,20,0.89,NO,1715295725
343,baiti,13.745,-14.7482,31.89,36,53,6.78,SN,1715295976
344,rio preto da eva,-2.6994,-59.6997,26.38,84,97,0.9,BR,1715295963
345,cidreira,-30.1811,-50.2056,15.36,66,58,2.67,BR,1715295693
346,horta,38.5333,-28.6333,17.79,91,86,3.58,PT,1715295978
347,tortosa,40.8125,0.5216,17.91,65,80,2.08,ES,1715295978
348,lompoc,34.6391,-120.4579,25.08,53,0,5.14,US,1715295979
349,luzino,54.9481,73.0353,9.87,93,40,1.0,RU,1715295979
350,pocao de pedras,-4.6667,-44.85,28.03,69,97,1.18,BR,1715295712
351,dubbo,-32.25,148.6167,16.07,72,75,5.66,AU,1715295980
352,namibe,-15.1961,12.1522,22.77,68,17,2.86,AO,1715295981
353,callao,-12.0667,-77.15,24.84,82,40,3.09,PE,1715295709
354,jinka,5.65,36.65,17.85,94,100,1.48,ET,1715295982
355,erenhot,43.6475,111.9767,11.53,70,100,10.8,CN,1715295982
356,ambalangoda,6.2355,80.0538,27.35,82,95,0.43,LK,1715295982
357,kudymkar,59.0173,54.656,-2.68,88,92,5.91,RU,1715295983
358,nadi,-17.8,177.4167,26.0,57,40,6.17,FJ,1715295983
359,strazhitsa,43.2333,25.9667,11.89,94,100,1.58,BG,1715295984
